OID,OBJECTID_1,MIN,MAX,RANGE,MEAN,STD
137,TSB1-9,0.706695676,0.908828676,0.202133,0.866443544,0.031236661
138,TSB1-10,0.77823621,0.908236623,0.130000412,0.873585913,0.021735792
139,TSB1-11,0.696668863,0.90664643,0.209977567,0.861757798,0.039262357
140,TSB1-12,0.654257357,0.903253734,0.248996377,0.856113541,0.040459604
141,TSB1-13,0.689157844,0.910780966,0.221623123,0.856133466,0.042758406
142,TSB1-14,0.666521788,0.906423092,0.239901304,0.854894257,0.044488605
143,TSB1-15,0.698693752,0.908112109,0.209418356,0.857894939,0.03780905
144,TSA2-1,0.835901141,0.903151035,0.067249894,0.878309117,0.01140099
145,TSA2-2,0.837090909,0.915133834,0.078042924,0.877305323,0.011436883
146,TSA2-3,0.824935377,0.900267184,0.075331807,0.875097402,0.010740529
147,TSA2-4,0.770875394,0.907262504,0.13638711,0.875632363,0.012209336
148,TSA2-5,0.813138723,0.904196084,0.09105736,0.876680522,0.012689907
149,TSA2-6,0.816643238,0.906286418,0.08964318,0.876539316,0.011447965
150,TSA2-7,0.830507874,0.912071824,0.08156395,0.87515472,0.011989473
151,TSA2-8,0.815549314,0.903084159,0.087534845,0.872173496,0.012481929
152,TSA2-9,0.744266987,0.90702951,0.162762523,0.866564864,0.020322755
153,TSA2-10,0.845253646,0.901775837,0.056522191,0.871790345,0.010691304
154,TSB2-1,0.759721816,0.911095619,0.151373804,0.865511123,0.024370437
155,TSB2-2,0.688931048,0.914908111,0.225977063,0.859971022,0.04378187
156,TSB2-3,0.68667388,0.911889613,0.225215733,0.854661217,0.04758149
157,TSB2-4,0.763116598,0.915661931,0.152545333,0.861807739,0.027127472
158,TSB2-5,0.767024815,0.909733951,0.142709136,0.863239826,0.026520909
159,TSB2-6,0.730941534,0.905117452,0.174175918,0.867921306,0.024143508
160,TSB2-7,0.737972319,0.933749437,0.195777118,0.875000152,0.023947546
161,TSB2-8,0.755184472,0.915307462,0.160122991,0.880342467,0.01967056
162,TSB2-9,0.790308654,0.911471367,0.121162713,0.87954432,0.020378794
163,TSA3-1,0.832864642,0.925208569,0.092343926,0.880831949,0.017686327
164,TSA3-2,0.825192869,0.918532372,0.093339503,0.881810051,0.019693789
165,TSA3-3,0.783094168,0.907323599,0.124229431,0.863223838,0.026050102
166,TSA3-4,0.741461337,0.908699989,0.167238653,0.848139386,0.034308431
167,TSA3-5,0.786206961,0.915338099,0.129131138,0.857129419,0.029721143
168,TSA3-6,0.686852872,0.925994515,0.239141643,0.861079942,0.037586642
169,TSA3-7,0.690484047,0.925898552,0.235414505,0.867021861,0.037250321
170,TSB3-1,0.858771682,0.89449805,0.035726368,0.878681006,0.008456761
171,TSB3-2,0.855722845,0.888432086,0.032709241,0.872056092,0.007692127
172,TSB3-3,0.850297272,0.89646709,0.046169817,0.875257366,0.00843093
173,TSB3-4,0.859444499,0.898662865,0.039218366,0.880925692,0.009869597
174,TSB3-5,0.831919968,0.900305986,0.068386018,0.875859334,0.014979151
175,TSB3-6,0.73769182,0.899340868,0.161649048,0.866378422,0.022868157
176,TSB3-7,0.741297305,0.899498463,0.158201158,0.863523612,0.028000989
177,TSB3-8,0.666946411,0.893705726,0.226759315,0.858247367,0.041600596
178,TSB3-9,0.696344614,0.896466792,0.200122178,0.865431232,0.033084887
179,TSB3-10,0.821348011,0.901828229,0.080480218,0.868948665,0.01517049
180,TDB4-7,0.78200382,0.900033474,0.118029654,0.86448758,0.014092668
181,TDB4-6,0.854691446,0.881858826,0.02716738,0.864495184,0.007781586
182,TDB4-5,0.853121459,0.877412498,0.024291039,0.865504781,0.009232512
183,TDB4-4,0.864786267,0.867611468,0.002825201,0.866198868,0.0014126
184,TDB4-3,0.847250223,0.86504072,0.017790496,0.855911076,0.007537042
185,TDB4-2,0.857744932,0.862562835,0.004817903,0.860153884,0.002408952
186,TDA4-11,0.755485952,0.901093543,0.145607591,0.860853357,0.020071343
187,TDA4-12,0.753561318,0.893293142,0.139731824,0.852994939,0.024464723
188,TDA4-13,0.74240613,0.896757364,0.154351234,0.8470559,0.029733294
189,TDA4-14,0.688068986,0.892779827,0.204710841,0.83667717,0.039757209
190,TDA4-15,0.684693873,0.891824067,0.207130194,0.844978921,0.034153147
191,TD5-1,0.616343558,0.89733845,0.280994892,0.817096082,0.036513321
192,TD5-2,0.747383177,0.900718093,0.153334916,0.836876799,0.032154005
193,TD5-3,0.74635762,0.881890953,0.135533333,0.830165352,0.02882448
194,TD5-4,0.748831451,0.89058286,0.141751409,0.835991922,0.031103871
195,TD5-5,0.616525471,0.891566336,0.275040865,0.833258497,0.03971001
196,TD5-6,0.744194388,0.894774079,0.150579691,0.832702067,0.034001389
197,TD5-7,0.738947451,0.889024734,0.150077283,0.838099665,0.02991762
198,TD5-8,0.737711966,0.878055215,0.140343249,0.846194048,0.028552438
199,TD5-9,0.710183501,0.878458977,0.168275476,0.846917563,0.028688536
200,TD5-10,0.756521761,0.880465746,0.123943985,0.842803257,0.02771463
