OID,OBJECTID_1,AREA,MIN,MAX,RANGE,MEAN,STD
313,TTA5-3,73301.48743,0.843817353,0.899972677,0.056155324,0.87407659,0.011862122
314,TTA5-4,149284.7366,0.841109097,0.911155343,0.070046246,0.876870808,0.012040909
315,TTA5-5,203813.8919,0.712952733,0.911710024,0.198757291,0.871338913,0.02586286
316,TTA5-6,220798.3829,0.58596921,0.912537813,0.326568604,0.852401669,0.04962632
317,TTA5-7,165375.307,0.756626904,0.897731543,0.141104639,0.860049158,0.025927668
318,TTA5-8,18772.33215,0.838695884,0.889553607,0.050857723,0.871191053,0.011219906
319,TTA6-1,310190.4407,0.714403868,0.898691714,0.184287846,0.859426423,0.026880849
320,TTA6-2,194874.6861,0.827218294,0.888310432,0.061092138,0.85997257,0.01062818
321,TTA6-3,299463.3938,0.757233083,0.887211859,0.129978776,0.855497851,0.016739726
322,TTA6-4,294993.7909,0.841117501,0.89416039,0.053042889,0.870069282,0.009908033
323,TTA6-5,309296.5201,0.847183287,0.896009207,0.04882592,0.872571349,0.008936326
324,TTA6-6,292312.0291,0.744411588,0.90604645,0.161634862,0.865938233,0.016197217
325,TTA6-7,304826.9172,0.791818619,0.899213433,0.107394814,0.866728883,0.012766942
326,TTA6-8,298569.4732,0.841983676,0.895359755,0.053376079,0.869786653,0.010059144
327,TTA6-9,302145.1555,0.769435048,0.896799505,0.127364457,0.862988595,0.016806851
328,TTA6-10,311084.3613,0.795093,0.898880184,0.103787184,0.867947411,0.012472831
329,TTA7-1,62574.44049,0.734777033,0.884944022,0.150166988,0.859641936,0.020689854
330,TTA7-2,92073.81958,0.826093554,0.886014819,0.059921265,0.857450231,0.011774341
331,TTA7-3,238676.7944,0.681085706,0.89117372,0.210088015,0.841035764,0.041308824
332,TTA7-4,279797.141,0.782990873,0.894852936,0.111862063,0.862442867,0.013336834
333,TTA7-5,286054.5851,0.836795509,0.892629802,0.055834293,0.862970716,0.011673878
334,TTA7-6,293205.9497,0.839253724,0.891073644,0.051819921,0.86327541,0.011292042
335,TTA7-7,296781.632,0.826978207,0.890900075,0.063921869,0.859200773,0.010712236
336,TTA7-8,291418.1086,0.702704847,0.893524706,0.19081986,0.846864192,0.031491937
337,TTA7-9,307508.679,0.714860737,0.878707051,0.163846314,0.839649983,0.025512487
338,TTA7-10,295887.7115,0.705982804,0.881931365,0.17594856,0.847760543,0.02394538
