OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA,PERCENTAGE
480,TTB4-1,Non-forest,0.062629126,0.886020883
481,TTB4-1,Regrowth 1973-2016,1.071399979,15.15720913
482,TTB4-2,Intact forest 2016,6.14373736,86.916104
483,TTB4-2,Non-forest,0.013131012,0.18576582
484,TTB4-2,Regrowth 1973-2016,0.911708625,12.89803861
485,TTB4-3,Intact forest 2016,6.191075482,87.58580142
486,TTB4-3,Non-forest,0.119887172,1.696056539
487,TTB4-3,Regrowth 1973-2016,0.757614428,10.71805167
488,TTB4-4,Intact forest 2016,5.808900678,82.17913395
489,TTB4-4,Non-forest,0.431516456,6.104709064
490,TTB4-4,Regrowth 1973-2016,0.828160073,11.71606838
491,TTB4-5,Intact forest 2016,5.272152849,74.58570549
492,TTB4-5,Non-forest,0.979821826,13.86164329
493,TTB4-5,Regrowth 1973-2016,0.816601821,11.55255256
494,TTB4-6,Intact forest 2016,4.642077286,65.67195967
495,TTB4-6,Non-forest,1.641407035,23.2211594
496,TTB4-6,Regrowth 1973-2016,0.785092912,11.10679268
497,TTB4-7,Intact forest 2016,3.839416408,54.3166311
498,TTB4-7,Non-forest,2.538416903,35.91125313
499,TTB4-7,Regrowth 1973-2016,0.690742789,9.772011497
500,TTB4-8,Intact forest 2016,3.06920371,43.42035039
501,TTB4-8,Non-forest,3.384475605,47.88053532
502,TTB4-8,Regrowth 1973-2016,0.614897025,8.69901342
503,TTB4-9,Intact forest 2016,2.214331822,31.32638712
504,TTB4-9,Non-forest,4.293403676,60.73923713
505,TTB4-9,Regrowth 1973-2016,0.560840472,7.93426963
506,TTB5-1,Intact forest 2016,6.585576071,93.1668431
507,TTB5-1,Non-forest,0.478848965,6.774327087
508,TTB5-1,Regrowth 1973-2016,0.004152189,0.058741451
509,TTB5-10,Intact forest 2016,3.733824713,52.8228142
510,TTB5-10,Non-forest,0.113859638,1.610784379
511,TTB5-10,Regrowth 1973-2016,3.220893148,45.56631696
512,TTB5-2,Intact forest 2016,6.533157691,92.42527472
513,TTB5-2,Non-forest,0.403647332,5.710441615
514,TTB5-2,Regrowth 1973-2016,0.131771776,1.864189293
515,TTB5-3,Intact forest 2016,6.400496747,90.54850627
516,TTB5-3,Non-forest,0.20699722,2.928411618
517,TTB5-3,Regrowth 1973-2016,0.461083513,6.522997354
518,TTB5-4,Intact forest 2016,6.176497571,87.37956617
519,TTB5-4,Non-forest,0.060777449,0.859825011
520,TTB5-4,Regrowth 1973-2016,0.831301867,11.76051567
521,TTB5-5,Intact forest 2016,5.780536191,81.77785853
522,TTB5-5,Non-forest,0.017868362,0.252785611
523,TTB5-5,Regrowth 1973-2016,1.270172348,17.96926292
524,TTB5-6,Intact forest 2016,5.247937838,74.24313316
525,TTB5-6,Non-forest,0.011860698,0.167794552
526,TTB5-6,Regrowth 1973-2016,1.808779191,25.58899105
527,TTB5-7,Intact forest 2016,4.398605441,62.22753765
528,TTB5-7,Non-forest,0.042599799,0.60266387
529,TTB5-7,Regrowth 1973-2016,2.627372166,37.16971267
530,TTB5-8,Intact forest 2016,3.718421695,52.60490607
531,TTB5-8,Non-forest,0.113859638,1.610784379
532,TTB5-8,Regrowth 1973-2016,3.236296205,45.78422563
533,TTB5-9,Intact forest 2016,3.428575982,48.50442802
534,TTB5-9,Non-forest,0.113859638,1.610784379
535,TTB5-9,Regrowth 1973-2016,3.526142197,49.88470762
536,TTB6-1,Intact forest 2016,6.581002969,93.10214693
537,TTB6-1,Non-forest,0.487574076,6.897762155
538,TTB6-2,Intact forest 2016,6.581003084,93.10214856
539,TTB6-2,Non-forest,0.487574076,6.897762155
540,TTB6-3,Intact forest 2016,6.577692257,93.05530994
541,TTB6-3,Non-forest,0.490885121,6.944603864
542,TTB6-4,Intact forest 2016,6.562414663,92.8391762
543,TTB6-4,Non-forest,0.506162115,7.160729122
544,TTB6-5,Intact forest 2016,6.480288323,91.67732616
545,TTB6-5,Non-forest,0.588288854,8.322584801
546,TTB6-6,Intact forest 2016,6.379276951,90.24830756
547,TTB6-6,Non-forest,0.689300265,9.751603955
548,TTB6-7,Intact forest 2016,6.197138722,87.67157872
549,TTB6-7,Non-forest,0.871438545,12.32833352
550,TTB6-8,Intact forest 2016,5.890582565,83.33469626
551,TTB6-8,Non-forest,1.163892821,16.46571517
552,TTB6-8,Regrowth 1973-2016,0.014102199,0.199505302
553,TTB6-9,Intact forest 2016,5.535431032,78.31032986
554,TTB6-9,Non-forest,1.515517698,21.44018959
555,TTB6-9,Regrowth 1973-2016,0.017628379,0.249390543
556,TTB7-1,Intact forest 2016,6.580628879,93.09685465
557,TTB7-1,Non-forest,0.487949044,6.903066879
558,TTB7-2,Intact forest 2016,6.565099109,92.87715333
559,TTB7-2,Non-forest,0.503477231,7.12274578
560,TTB7-3,Intact forest 2016,6.567689606,92.91380138
561,TTB7-3,Non-forest,0.500886888,7.086099921
562,TTB7-4,Intact forest 2016,6.528053803,92.35306947
563,TTB7-4,Non-forest,0.540523236,7.646839543
564,TTB7-5,Intact forest 2016,6.612476905,93.54741204
565,TTB7-5,Non-forest,0.448246902,6.34139646
566,TTB7-5,Regrowth 1973-2016,0.007853203,0.111100092
567,TTB7-6,Intact forest 2016,6.683421335,94.55107041
568,TTB7-6,Non-forest,0.354766302,5.018916501
569,TTB7-6,Regrowth 1973-2016,0.030390347,0.429935459
570,TTB7-7,Intact forest 2016,6.47262509,91.56891359
571,TTB7-7,Non-forest,0.499389908,7.064921988
572,TTB7-7,Regrowth 1973-2016,0.096561504,1.366065841
573,TTB7-8,Intact forest 2016,6.24435007,88.33948266
574,TTB7-8,Non-forest,0.676287754,9.567514583
575,TTB7-8,Regrowth 1973-2016,0.147939963,2.092922352
576,TTB7-9,Intact forest 2016,6.02537609,85.24163455
577,TTB7-9,Non-forest,0.883967866,12.50558715
578,TTB7-9,Regrowth 1973-2016,0.159234025,2.252700638
579,TTB8-1,Intact forest 2016,6.421515915,90.84586667
580,TTB8-1,Non-forest,0.180348358,2.55140734
581,TTB8-1,Regrowth 1973-2016,0.466713168,6.602640689
582,TTB8-2,Intact forest 2016,6.12292071,86.62160863
583,TTB8-2,Non-forest,0.014773923,0.209008255
584,TTB8-2,Regrowth 1973-2016,0.930882385,13.16929182
585,TTB8-3,Intact forest 2016,5.548587504,78.49645586
586,TTB8-3,Non-forest,0.059710156,0.844725905
587,TTB8-3,Regrowth 1973-2016,1.460279244,20.65872534
588,TTB8-4,Intact forest 2016,5.84761714,82.72685984
589,TTB8-4,Non-forest,0.034951865,0.494467741
590,TTB8-4,Regrowth 1973-2016,1.186008225,16.77858413
591,TTB8-5,Intact forest 2016,6.293453016,89.03414726
592,TTB8-5,Non-forest,0.093615105,1.324382815
593,TTB8-5,Regrowth 1973-2016,0.681509379,9.641385467
594,TTB8-6,Intact forest 2016,6.531594168,92.40315539
595,TTB8-6,Non-forest,0.265644405,3.758099577
596,TTB8-6,Regrowth 1973-2016,0.271338996,3.838661552
597,TTB8-7,Intact forest 2016,6.471585384,91.55420475
598,TTB8-7,Non-forest,0.571214486,8.081031919
599,TTB8-7,Regrowth 1973-2016,0.025777265,0.364673707
600,TTB8-8,Intact forest 2016,5.992250991,84.77301026
601,TTB8-8,Non-forest,1.055192619,14.92792189
602,TTB8-8,Regrowth 1973-2016,0.021133468,0.298977414
603,TTB8-9,Intact forest 2016,5.504531815,77.87319535
604,TTB8-9,Non-forest,1.505688447,21.30113414
605,TTB8-9,Regrowth 1973-2016,0.058356603,0.825577053
606,TUA1-1,Intact forest 2016,6.611407275,93.53227988
607,TUA1-1,Non-forest,0.457169877,6.467630732
608,TUA1-10,Intact forest 2016,7.066502311,99.97055761
609,TUA1-10,Non-forest,0.002074419,0.029347022
610,TUA1-11,Intact forest 2016,7.068577254,99.99991206
611,TUA1-12,Intact forest 2016,7.068576918,99.99990731
612,TUA1-2,Intact forest 2016,6.630548719,93.80307592
613,TUA1-2,Non-forest,0.438027262,6.196818124
614,TUA1-3,Intact forest 2016,6.697498581,94.75022272
615,TUA1-3,Non-forest,0.371078911,5.249692708
616,TUA1-4,Intact forest 2016,6.762910763,95.67561579
617,TUA1-4,Non-forest,0.30566652,4.324296675
618,TUA1-5,Intact forest 2016,6.847069229,96.86621454
619,TUA1-5,Non-forest,0.221507839,3.133694894
620,TUA1-6,Intact forest 2016,6.924192322,97.95728311
621,TUA1-6,Non-forest,0.144384711,2.042625826
622,TUA1-7,Intact forest 2016,6.994231721,98.94813791
623,TUA1-7,Non-forest,0.074345387,1.051772081
624,TUA1-8,Intact forest 2016,7.034480977,99.51754841
625,TUA1-8,Non-forest,0.034096291,0.482363848
626,TUA1-9,Intact forest 2016,7.052364483,99.77054826
627,TUA1-9,Non-forest,0.016213163,0.229369337
628,TUA2-1,Intact forest 2016,7.040038739,99.59617465
629,TUA2-1,Non-forest,0.028538165,0.403732441
630,TUA2-10,Intact forest 2016,7.068576863,99.99990653
631,TUA2-11,Intact forest 2016,7.068576749,99.99990491
632,TUA2-12,Intact forest 2016,7.068577651,99.99991768
633,TUA2-2,Intact forest 2016,7.055898207,99.82054023
634,TUA2-2,Non-forest,0.012678863,0.179369216
635,TUA2-3,Intact forest 2016,7.067306456,99.98193394
636,TUA2-3,Non-forest,0.001270499,0.017973889
637,TUA2-4,Intact forest 2016,7.068576757,100
638,TUA2-5,Intact forest 2016,7.068577327,100
639,TUA2-6,Intact forest 2016,7.068576908,100
640,TUA2-7,Intact forest 2016,7.06857734,100
641,TUA2-8,Intact forest 2016,7.068577386,100
642,TUA2-9,Intact forest 2016,7.068577374,100
643,TUA3-1,Intact forest 2016,7.068577425,100
644,TUA3-10,Intact forest 2016,7.068577253,100
645,TUA3-11,Intact forest 2016,7.068576947,100
646,TUA3-2,Intact forest 2016,7.068577443,100
647,TUA3-3,Intact forest 2016,7.068576792,100
648,TUA3-4,Intact forest 2016,7.068577559,100
649,TUA3-5,Intact forest 2016,7.068576815,100
650,TUA3-6,Intact forest 2016,7.068577287,100
651,TUA3-7,Intact forest 2016,7.068577392,100
652,TUA3-8,Intact forest 2016,7.068576827,100
653,TUA3-9,Intact forest 2016,7.068577027,100
654,TUB1-1,Intact forest 2016,6.593842867,93.28379434
655,TUB1-1,Non-forest,0.474735452,6.716132783
656,TUB1-10,Intact forest 2016,5.838757323,82.60151906
657,TUB1-10,Non-forest,1.229820211,17.39839695
658,TUB1-11,Intact forest 2016,5.701638518,80.66168478
659,TUB1-11,Non-forest,1.366938341,19.33822167
660,TUB1-12,Intact forest 2016,5.543962613,78.43102703
661,TUB1-12,Non-forest,1.524614118,21.56887762
662,TUB1-13,Intact forest 2016,5.404075523,76.45202953
663,TUB1-13,Non-forest,1.664502295,23.54789049
664,TUB1-2,Intact forest 2016,6.467106738,91.49084488
665,TUB1-2,Non-forest,0.601471259,8.509077691
666,TUB1-3,Intact forest 2016,6.414790964,90.75072808
667,TUB1-3,Non-forest,0.653785523,9.249173136
668,TUB1-4,Intact forest 2016,6.331036498,89.56584477
669,TUB1-4,Non-forest,0.737540826,10.43406829
670,TUB1-5,Intact forest 2016,6.271632412,88.72544886
671,TUB1-5,Non-forest,0.796945034,11.27446591
672,TUB1-6,Intact forest 2016,6.205720045,87.79297961
673,TUB1-6,Non-forest,0.862858448,12.20694997
674,TUB1-7,Intact forest 2016,6.147168747,86.96464819
675,TUB1-7,Non-forest,0.921408112,13.03525827
676,TUB1-8,Intact forest 2016,6.061406691,85.75136329
677,TUB1-8,Non-forest,1.007169944,14.24854001
678,TUB1-9,Intact forest 2016,5.934232819,83.95222103
679,TUB1-9,Non-forest,1.134343499,16.04767777
680,TUB2-1,Intact forest 2016,7.03083254,99.46593358
681,TUB2-1,Non-forest,0.0377448,0.533979683
682,TUB2-2,Intact forest 2016,7.023518453,99.36246042
683,TUB2-2,Non-forest,0.045058781,0.637451356
684,TUB2-3,Intact forest 2016,7.014064761,99.22871804
685,TUB2-3,Non-forest,0.05451234,0.771191861
686,TUB2-4,Intact forest 2016,6.967114088,98.56450188
687,TUB2-4,Non-forest,0.101462876,1.43540607
688,TUB2-5,Intact forest 2016,6.931335619,98.05834009
689,TUB2-5,Non-forest,0.137241101,1.941564405
690,TUB2-6,Intact forest 2016,6.997816602,98.99885361
691,TUB2-6,Non-forest,0.070760827,1.001060924
692,TUB2-7,Intact forest 2016,7.036067722,99.53999626
693,TUB2-7,Non-forest,0.032509814,0.45991978
694,TUB2-8,Intact forest 2016,7.052271168,99.76922813
695,TUB2-8,Non-forest,0.01630559,0.230676912
696,TUB3-1,Intact forest 2016,7.068577231,100
697,TUB3-10,Intact forest 2016,7.068577466,100
698,TUB3-11,Intact forest 2016,7.068577587,100
699,TUB3-12,Intact forest 2016,7.068576975,100
700,TUB3-2,Intact forest 2016,7.06857682,100
701,TUB3-3,Intact forest 2016,7.068577191,100
702,TUB3-4,Intact forest 2016,7.068577346,100
703,TUB3-5,Intact forest 2016,7.06857733,100
704,TUB3-6,Intact forest 2016,7.068577181,100
705,TUB3-7,Intact forest 2016,7.068577137,100
706,TUB3-8,Intact forest 2016,7.068577304,100
707,TUB3-9,Intact forest 2016,7.06857729,100
