OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (sqaure kilometers),PERCENTAGE
347,TTB5-7,Intact forest 2016,0.458639964,58.41124802
348,TTB5-7,Regrowth 1973-2016,0.32655121,41.58875198
349,TTB5-8,Intact forest 2016,0.269518989,34.32526985
350,TTB5-8,Regrowth 1973-2016,0.515672184,65.67473015
351,TTB5-9,Intact forest 2016,0.10602122,13.50259956
352,TTB5-9,Non-forest,0.007544188,0.960809099
353,TTB5-9,Regrowth 1973-2016,0.671625765,85.53659134
354,TTB6-1,Intact forest 2016,0.768065253,97.81888526
355,TTB6-1,Non-forest,0.01712592,2.181114742
356,TTB6-2,Intact forest 2016,0.672119704,85.59949813
357,TTB6-2,Non-forest,0.11307147,14.40050187
358,TTB6-3,Intact forest 2016,0.574785076,73.20320141
359,TTB6-3,Non-forest,0.210406097,26.79679859
360,TTB6-4,Intact forest 2016,0.594582289,75.72452529
361,TTB6-4,Non-forest,0.190608885,24.27547471
362,TTB6-5,Intact forest 2016,0.723671986,92.16506893
363,TTB6-5,Non-forest,0.061519187,7.834931068
364,TTB6-6,Intact forest 2016,0.748169596,95.2850238
365,TTB6-6,Non-forest,0.037021577,4.714976203
366,TTB6-7,Intact forest 2016,0.759035113,96.668829
367,TTB6-7,Non-forest,0.026156061,3.331171
368,TTB6-8,Intact forest 2016,0.723570831,92.15218615
369,TTB6-8,Non-forest,0.061620342,7.847813854
370,TTB6-9,Intact forest 2016,0.638040597,81.25926761
371,TTB6-9,Non-forest,0.147150577,18.74073239
372,TTB7-1,Intact forest 2016,0.708464991,90.22834378
373,TTB7-1,Non-forest,0.076726182,9.771656224
374,TTB7-2,Intact forest 2016,0.774861609,98.68445234
375,TTB7-2,Non-forest,0.010329564,1.315547657
376,TTB7-3,Intact forest 2016,0.785191173,100
377,TTB7-4,Intact forest 2016,0.785191173,100
