OBJECTID,OBJECTID_1,CIFOR Forest type class,AREA (Square Kilometers),PERCENTAGE
291,TTB6-7,Non-forest,0.002279341,7.264844905
292,TTB6-8,Intact forest 2016,0.029740403,94.79031852
293,TTB6-8,Non-forest,0.001634534,5.209681482
294,TTB6-9,Intact forest 2016,0.019365442,61.72264817
295,TTB6-9,Non-forest,0.012009495,38.27735183
296,TTB7-1,Intact forest 2016,0.031374937,100
297,TTB7-2,Intact forest 2016,0.031374937,100
298,TTB7-3,Intact forest 2016,0.031374937,100
299,TTB7-4,Intact forest 2016,0.031374937,100
300,TTB7-5,Intact forest 2016,0.031374937,100
301,TTB7-6,Intact forest 2016,0.031374937,100
302,TTB7-7,Intact forest 2016,0.031374937,100
303,TTB7-8,Intact forest 2016,0.025474564,81.19399217
304,TTB7-8,Non-forest,0.005900373,18.80600783
305,TTB7-9,Intact forest 2016,0.002314059,7.375502296
306,TTB7-9,Non-forest,0.029060878,92.6244977
307,TTB8-1,Intact forest 2016,0.031374937,100
308,TTB8-2,Intact forest 2016,0.031374937,100
309,TTB8-3,Intact forest 2016,0.031374937,100
310,TTB8-4,Intact forest 2016,0.031374937,100
311,TTB8-5,Intact forest 2016,0.031374937,100
312,TTB8-6,Intact forest 2016,0.031374937,100
313,TTB8-7,Intact forest 2016,0.031374937,100
314,TTB8-8,Intact forest 2016,0.031374937,100
315,TTB8-9,Intact forest 2016,0.015591432,49.6939072
316,TTB8-9,Non-forest,0.015783505,50.3060928
317,TUA1-1,Intact forest 2016,0.031374937,100
318,TUA1-10,Intact forest 2016,0.031374937,100
319,TUA1-11,Intact forest 2016,0.031374937,100
320,TUA1-12,Intact forest 2016,0.031374937,100
321,TUA1-2,Intact forest 2016,0.031374937,100
322,TUA1-3,Intact forest 2016,0.031374937,100
323,TUA1-4,Intact forest 2016,0.031374937,100
324,TUA1-5,Intact forest 2016,0.031374937,100
325,TUA1-6,Intact forest 2016,0.031374937,100
326,TUA1-7,Intact forest 2016,0.031374937,100
327,TUA1-8,Intact forest 2016,0.031374937,100
328,TUA1-9,Intact forest 2016,0.031374937,100
329,TUA2-1,Intact forest 2016,0.031374937,100
330,TUA2-10,Intact forest 2016,0.031374937,100
331,TUA2-11,Intact forest 2016,0.031374937,100
332,TUA2-12,Intact forest 2016,0.031374937,100
333,TUA2-2,Intact forest 2016,0.031374937,100
334,TUA2-3,Intact forest 2016,0.031374937,100
335,TUA2-4,Intact forest 2016,0.031374937,100
336,TUA2-5,Intact forest 2016,0.031374937,100
337,TUA2-6,Intact forest 2016,0.031374937,100
338,TUA2-7,Intact forest 2016,0.031374937,100
339,TUA2-8,Intact forest 2016,0.031374937,100
340,TUA2-9,Intact forest 2016,0.031374937,100
341,TUA3-1,Intact forest 2016,0.031374937,100
342,TUA3-10,Intact forest 2016,0.031374937,100
343,TUA3-11,Intact forest 2016,0.031374937,100
344,TUA3-2,Intact forest 2016,0.031374937,100
345,TUA3-3,Intact forest 2016,0.031374937,100
346,TUA3-4,Intact forest 2016,0.031374937,100
347,TUA3-5,Intact forest 2016,0.031374937,100
348,TUA3-6,Intact forest 2016,0.031374937,100
349,TUA3-7,Intact forest 2016,0.031374937,100
350,TUA3-8,Intact forest 2016,0.031374937,100
351,TUA3-9,Intact forest 2016,0.031374937,100
352,TUB1-1,Intact forest 2016,0.031374937,100
353,TUB1-10,Intact forest 2016,0.021791403,69.45480929
354,TUB1-10,Non-forest,0.009583534,30.54519071
355,TUB1-11,Intact forest 2016,0.009225592,29.4043364
356,TUB1-11,Non-forest,0.022149345,70.5956636
357,TUB1-12,Intact forest 2016,0.00135472,4.317841099
358,TUB1-12,Non-forest,0.030020217,95.6821589
359,TUB1-13,Intact forest 2016,0.000556464,1.773594647
