observer1,date,start,cloudCover,occasion
Katie,2017-11-10,5.5,95,2
Katie,2017-11-10,9.36666666666667,100,2
Katie,2017-11-10,5.91666666666667,80,2
Katie,2017-11-10,6.31666666666667,70,2
Katie,2017-11-10,6.71666666666667,60,2
Katie,2017-11-10,7.15,50,2
Katie,2017-11-10,7.55,70,2
Katie,2017-11-10,7.95,90,2
Katie,2017-11-10,8.4,100,2
Katie,2017-11-10,8.81666666666667,100,2
Katie,2017-11-12,5.55,100,2
Katie,2017-11-12,6.05,100,2
Katie,2017-11-12,6.53333333333333,100,2
Katie,2017-11-12,7.01666666666667,100,2
Katie,2017-11-12,7.46666666666667,100,2
Katie,2017-11-12,7.88333333333333,100,2
Katie,2017-11-12,8.26666666666667,100,2
Katie,2017-11-12,8.65,100,2
Katie,2017-11-12,9.05,100,2
Katie,2017-11-09,5.7,100,2
Katie,2017-11-09,6.13333333333333,100,2
Katie,2017-11-09,6.61666666666667,100,2
Katie,2017-11-09,7.2,100,2
Katie,2017-11-09,7.75,90,2
Katie,2017-11-09,8.18333333333333,100,2
Katie,2017-11-09,8.61666666666667,100,2
Katie,2017-11-09,9.06666666666667,100,2
Katie,2017-11-09,9.53333333333333,99,2
Katie,2017-11-11,5.51666666666667,100,2
Katie,2017-11-11,6.03333333333333,90,2
Katie,2017-11-11,6.53333333333333,80,2
Katie,2017-11-11,7.1,80,2
Katie,2017-11-11,7.55,100,2
Katie,2017-11-11,8.01666666666667,90,2
Katie,2017-11-11,8.43333333333333,100,2
Katie,2017-11-11,8.85,100,2
Katie,2017-11-11,9.31666666666667,70,2
Katie,2017-12-14,5.51666666666667,100,3
Katie,2017-12-14,5.98333333333333,70,3
Katie,2017-12-14,6.5,30,3
Katie,2017-12-14,7.36666666666667,60,3
Katie,2017-12-14,7.83333333333333,70,3
Katie,2017-12-14,8.38333333333333,40,3
Katie,2017-12-14,8.88333333333333,40,3
Katie,2017-12-15,5.56666666666667,0,3
Katie,2017-12-15,6.11666666666667,0,3
Katie,2017-12-15,6.86666666666667,10,3
Katie,2017-12-15,7.4,0,3
Katie,2017-12-15,7.98333333333333,0,3
Katie,2017-12-15,8.68333333333333,0,3
Katie,2017-12-13,5.51666666666667,100,3
Katie,2017-12-13,6.01666666666667,100,3
Katie,2017-12-13,6.48333333333333,100,3
Katie,2017-12-13,6.93333333333333,100,3
Katie,2017-12-13,7.4,100,3
Katie,2017-12-13,7.88333333333333,100,3
Katie,2017-12-13,8.38333333333333,100,3
Katie,2017-12-07,5.73333333333333,100,3
Katie,2017-12-07,6.16666666666667,100,3
Katie,2017-12-07,6.6,100,3
Katie,2017-12-07,7.03333333333333,100,3
Katie,2017-12-07,7.5,100,3
Katie,2017-12-07,8.1,100,3
Katie,2017-12-07,8.66666666666667,100,3
Katie,2017-12-07,9.25,100,3
Katie,2017-12-09,5.95,100,3
,,,,
