Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
105,TDB2-6,105,21,20243.229337626024062,14.516149520874023,29.966405868530273,15.450256347656250,23.023977506728400,4.625211411283732,483.503527641296387
106,TDB2-7,106,22,21207.192639417738974,8.464297294616699,40.569377899169922,32.105080604553223,24.157050696286287,7.786633857486739,531.455115318298340
107,TDB2-8,107,19,18315.302734042590600,5.693702220916748,29.879734039306641,24.186031818389893,16.394468658848812,6.652986185387411,311.494904518127441
108,TDB2-9,108,20,19279.266035834305512,2.846851110458374,27.829336166381836,24.982485055923462,16.518449866771697,6.888344985892049,330.368997335433960
109,TDB2-10,109,22,21207.192639417738974,7.744272708892822,36.586193084716797,28.841920375823975,19.789288455789741,9.455008024465501,435.364346027374268
110,TDA3-1,110,15,14459.449526875730953,0.000000000000000,16.521551132202148,16.521551132202148,7.760090120633444,5.595401627343533,116.401351809501648
111,TDA3-2,111,18,17351.339432250875689,0.000000000000000,18.780588150024414,18.780588150024414,7.351808892356025,5.917011844480252,132.332560062408447
112,TDA3-3,112,22,21207.192639417738974,0.805211126804352,23.406587600708008,22.601376473903656,11.603967853567816,5.835703314863528,255.287292778491974
113,TDA3-4,113,22,21207.192639417738974,1.273150563240051,23.365001678466797,22.091851115226746,9.346873321316458,4.849855508385700,205.631213068962097
114,TDA3-5,114,20,19279.266035834305512,2.052893638610840,30.133621215820313,28.080727577209473,12.755789554119110,8.539430033575879,255.115791082382202
115,TDA3-6,115,20,19279.266035834305512,0.805211126804352,24.323507308959961,23.518296182155609,9.665846553444862,7.172764584443640,193.316931068897247
116,TDA3-7,116,19,18315.302734042590600,1.138740420341492,13.340770721435547,12.202030301094055,6.752216847319352,3.883410345637299,128.292120099067688
117,TDA3-8,117,20,19279.266035834305512,1.273150563240051,26.122865676879883,24.849715113639832,12.490616112947464,7.841858048474910,249.812322258949280
118,TDA3-9,118,19,18315.302734042590600,4.864701271057129,19.433799743652344,14.569098472595215,11.831470916145726,4.685506051827114,224.797947406768799
119,TSA1-1,119,33,31810.788959126606642,0.805211126804352,21.273427963256836,20.468216836452484,10.490852935747666,5.588957344571497,346.198146879673004
120,TSA1-2,120,20,19279.266035834305512,7.042720794677734,20.505235671997070,13.462514877319336,13.497008442878723,3.705971391253594,269.940168857574463
121,TSA1-3,121,21,20243.229337626024062,4.590409755706787,17.465843200683594,12.875433444976807,10.955408709389824,3.033862852105744,230.063582897186279
122,TSA1-4,122,19,18315.302734042590600,0.000000000000000,29.879734039306641,29.879734039306641,9.113375143000955,9.422322525600471,173.154127717018127
123,TSA1-5,123,21,20243.229337626024062,0.000000000000000,25.728982925415039,25.728982925415039,4.107483849638984,5.504983423332297,86.257160842418671
124,TSA1-6,124,19,18315.302734042590600,4.336194515228271,19.266263961791992,14.930069446563721,10.248333680002313,3.849259339207483,194.718339920043945
125,TSA1-7,125,22,21207.192639417738974,2.277480840682983,31.081565856933594,28.804085016250610,15.607673395763744,7.353482546033319,343.368814706802368
126,TSA1-8,126,20,19279.266035834305512,2.546301126480103,39.315418243408203,36.769117116928101,15.457358479499817,9.544843128102048,309.147169589996338
127,TSA1-9,127,23,22171.155941209453886,4.446923732757568,51.950157165527344,47.503233432769775,29.524306442426600,13.249586739739206,679.059048175811768
128,TSA1-10,128,19,18315.302734042590600,6.639940738677979,35.121421813964844,28.481481075286865,21.004364289735491,8.492170246794764,399.082921504974365
129,TSA1-11,129,18,17351.339432250875689,0.805211126804352,30.819711685180664,30.014500558376312,12.566847572724024,9.691650884651615,226.203256309032440
130,TSA1-12,130,23,22171.155941209453886,0.569370210170746,35.888397216796875,35.319027006626129,17.900368822657544,9.969608890515779,411.708482921123505
131,TSB1-1,131,33,31810.788959126606642,0.000000000000000,10.137349128723145,10.137349128723145,3.750609569477312,2.353944546687935,123.770115792751312
132,TSB1-2,132,22,21207.192639417738974,2.903229951858521,18.960969924926758,16.057739973068237,9.925302733074535,4.874843192938499,218.356660127639771
133,TSB1-3,133,19,18315.302734042590600,0.000000000000000,19.139650344848633,19.139650344848633,9.810192597539801,4.833879625115821,186.393659353256226
134,TSB1-4,134,20,19279.266035834305512,1.138740420341492,27.501230239868164,26.362489819526672,16.200704568624495,7.184800190301111,324.014091372489929
135,TSB1-5,135,19,18315.302734042590600,1.800506830215454,22.176221847534180,20.375715017318726,12.249933167507773,6.636197728386671,232.748730182647705
136,TSB1-6,136,22,21207.192639417738974,0.805211126804352,17.878587722778320,17.073376595973969,8.031013989990408,4.527423503071862,176.682307779788971
137,TSB1-7,137,21,20243.229337626024062,0.805211126804352,16.985946655273438,16.180735528469086,7.191821680182502,4.870276178806935,151.028255283832550
138,TSB1-8,138,20,19279.266035834305512,3.066152572631836,15.830130577087402,12.763978004455566,9.020171010494233,4.155602431608692,180.403420209884644
139,TSB1-9,139,20,19279.266035834305512,5.371428012847900,32.313957214355469,26.942529201507568,13.735546088218689,6.101239039546910,274.710921764373779
140,TSB1-10,140,20,19279.266035834305512,0.805211126804352,29.392963409423828,28.587752282619476,8.759187409281731,8.468753503484550,175.183748185634613
141,TSB1-11,141,19,18315.302734042590600,1.610422253608704,57.008152008056641,55.397729754447937,18.750063839711640,18.983068092410431,356.251212954521179
142,TSB1-12,142,22,21207.192639417738974,3.601013660430908,63.476482391357422,59.875468730926514,28.247910347851839,14.484688475464463,621.454027652740479
143,TSB1-13,143,21,20243.229337626024062,0.569370210170746,61.201339721679688,60.631969511508942,25.765195117110299,16.621788745376310,541.069097459316254
144,TSB1-14,144,20,19279.266035834305512,0.000000000000000,5.401520252227783,5.401520252227783,1.058151382207871,1.532666932623157,21.163027644157410
145,TSB1-15,145,21,20243.229337626024062,0.000000000000000,12.291013717651367,12.291013717651367,2.704833629585448,3.053725736466289,56.801506221294403
146,TSA2-1,146,23,22171.155941209453886,3.416221380233765,47.240577697753906,43.824356317520142,20.479717886966206,11.417811943615906,471.033511400222778
147,TSA2-2,147,20,19279.266035834305512,5.249334335327148,34.109981536865234,28.860647201538086,18.779632163047790,8.166263012710509,375.592643260955811
148,TSA2-3,148,21,20243.229337626024062,3.645748376846313,46.273372650146484,42.627624273300171,20.920743090765818,12.729674962965834,439.335604906082153
149,TSA2-4,149,21,20243.229337626024062,3.066152572631836,36.332782745361328,33.266630172729492,15.342402730669294,9.966010262380612,322.190457344055176
150,TSA2-5,150,22,21207.192639417738974,7.291496753692627,32.772190093994141,25.480693340301514,19.608093760230325,8.582898511991075,431.378062725067139
151,TSA2-6,151,20,19279.266035834305512,4.590409755706787,35.291770935058594,30.701361179351807,17.103034353256227,9.538231424215784,342.060687065124512
152,TSA2-7,152,21,20243.229337626024062,7.744272708892822,37.223056793212891,29.478784084320068,19.278065749577113,6.921707721779579,404.839380741119385
153,TSA2-8,153,21,20243.229337626024062,4.897907733917236,38.186027526855469,33.288119792938232,22.178026812417166,8.024084011416015,465.738563060760498
154,TSA2-9,154,19,18315.302734042590600,3.463343858718872,17.081106185913086,13.617762327194214,9.588280188409906,3.787551385556450,182.177323579788208
155,TSA2-10,155,21,20243.229337626024062,2.903229951858521,19.139650344848633,16.236420392990112,11.151605889910744,4.609330441447895,234.183723688125610
156,TSB2-1,156,32,30846.825657334891730,28.610500335693359,89.870361328125000,61.259860992431641,51.538731813430786,13.511256106268794,1649.239418029785156
157,TSB2-2,157,21,20243.229337626024062,21.402565002441406,75.212921142578125,53.810356140136719,47.722203572591148,13.662204359837393,1002.166275024414063
158,TSB2-3,158,19,18315.302734042590600,7.202027320861816,58.337532043457031,51.135504722595215,35.139541274622864,14.347313449571752,667.651284217834473
159,TSB2-4,159,18,17351.339432250875689,18.005067825317383,65.227073669433594,47.222005844116211,38.550396495395233,12.711346502726560,693.907136917114258
160,TSB2-5,160,20,19279.266035834305512,9.390294075012207,72.614242553710938,63.223948478698730,39.115422964096069,18.663148830143133,782.308459281921387
161,TSB2-6,161,22,21207.192639417738974,14.901844978332520,68.914970397949219,54.013125419616699,43.166625499725342,11.933913582226014,949.665760993957520
162,TSB2-7,162,23,22171.155941209453886,38.490440368652344,135.028411865234375,96.537971496582031,76.457292805547297,27.277579315298127,1758.517734527587891
163,TSB2-8,163,19,18315.302734042590600,19.739992141723633,133.370040893554688,113.630048751831055,39.650759144833216,25.465019347694540,753.364423751831055
164,TSB2-9,164,20,19279.266035834305512,13.533776283264160,80.466743469238281,66.932967185974121,42.830509138107303,16.185008418237867,856.610182762145996
165,TSA3-1,165,32,30846.825657334891730,2.052893638610840,65.517173767089844,63.464280128479004,22.584933698177338,15.039944431622516,722.717878341674805
166,TSA3-2,166,19,18315.302734042590600,13.676742553710938,67.207397460937500,53.530654907226563,36.987438503064610,17.111942027295463,702.761331558227539
167,TSA3-3,167,19,18315.302734042590600,4.590409755706787,43.900623321533203,39.310213565826416,18.470906533693011,10.079216484775632,350.947224140167236
