OBJECTID,OBJECTID_1,Undisturbed_Pixel_area,Disturbed_Area_sq_m,Area_disturbed_km,Percent_disturbed (km)
55,TUA3-10,101895.4776,0,0,0
56,TUA3-11,112621.3174,0,0,0
57,TUB3-1,30389.87929,0,0,0
58,TUB3-2,48266.27886,0,0,0
59,TUB3-3,53629.19874,0,0,0
60,TUB3-4,59885.93859,0,0,0
61,TUB3-5,70611.77834,0,0,0
62,TUB3-6,65248.85847,0,0,0
63,TUB3-7,38434.2591,0,0,0
64,TUB3-8,84912.898,0,0,0
65,TUB3-9,57204.47865,0,0,0
66,TUB3-10,82231.43807,0,0,0
67,TUB3-11,67036.49842,0,0,0
68,TUB3-12,67036.49842,0,0,0
69,TDA1-1,785667.7615,0,0,0
70,TDA1-2,104576.9375,0,0,0
71,TDA1-3,96532.55773,0,0,0
72,TDA1-4,102789.2976,0,0,0
73,TDA1-5,115302.7773,0,0,0
74,TDA1-6,109046.0374,0,0,0
75,TDA1-7,101895.4776,0,0,0
76,TDA1-8,94744.91777,0,0,0
77,TDA1-9,96532.55773,0,0,0
78,TDA1-10,95638.73775,893.819979,0.0008938,0.1138347
79,TDA1-11,101895.4776,0,0,0
80,TDB1-1,367360.0114,1787.639958,0.0017876,0.2276694
81,TDB1-2,105470.7575,0,0,0
82,TDB1-3,105470.7575,0,0,0
83,TDB1-4,106364.5775,0,0,0
84,TDB1-5,78656.15815,0,0,0
85,TDB1-6,74187.05826,0,0,0
86,TDB1-7,78656.15815,0,0,0
87,TDB1-8,35752.79916,0,0,0
88,TDB1-9,57204.47865,0,0,0
89,TDB1-10,76868.51819,0,0,0
90,TDA2-1,97426.37771,0,0,0
91,TDA2-2,101895.4776,0,0,0
92,TDA2-3,93851.09779,893.819979,0.0008938,0.1138347
93,TDA2-4,88488.17792,893.819979,0.0008938,0.1138347
94,TDA2-5,106364.5775,893.819979,0.0008938,0.1138347
95,TDA2-6,105470.7575,0,0,0
96,TDA2-7,113515.1373,0,0,0
97,TDA2-8,100107.8376,0,0,0
98,TDA2-9,43797.17897,0,0,0
99,TDA2-10,75080.87823,0,0,0
100,TDB2-1,210941.515,0,0,0
101,TDB2-2,90275.81788,0,0,0
102,TDB2-3,75974.69821,0,0,0
103,TDB2-4,89381.9979,0,0,0
104,TDB2-5,101001.6576,0,0,0
105,TDB2-6,107258.3975,0,0,0
106,TDB2-7,109046.0374,0,0,0
107,TDB2-8,102789.2976,0,0,0
108,TDB2-9,104576.9375,0,0,0
109,TDB2-10,103683.1176,0,0,0
110,TDA3-1,57204.47865,0,0,0
111,TDA3-2,85806.71798,0,0,0
112,TDA3-3,82231.43807,0,0,0
113,TDA3-4,88488.17792,0,0,0
114,TDA3-5,93851.09779,0,0,0
115,TDA3-6,95638.73775,893.819979,0.0008938,0.1138347
116,TDA3-7,106364.5775,0,0,0
117,TDA3-8,93851.09779,0,0,0
118,TDA3-9,84912.898,9832.019769,0.009832,1.2521816
119,TSA1-1,780304.8416,0,0,0
120,TSA1-2,106364.5775,0,0,0
121,TSA1-3,101895.4776,0,0,0
122,TSA1-4,101895.4776,0,0,0
123,TSA1-5,97426.37771,0,0,0
124,TSA1-6,96532.55773,0,0,0
125,TSA1-7,111727.4974,0,0,0
126,TSA1-8,114408.9573,0,0,0
127,TSA1-9,99214.01767,0,0,0
128,TSA1-10,101895.4776,0,0,0
129,TSA1-11,89381.9979,0,0,0
130,TSA1-12,101001.6576,0,0,0
131,TSB1-1,437971.7897,0,0,0
132,TSB1-2,101001.6576,0,0,0
133,TSB1-3,103683.1176,0,0,0
134,TSB1-4,102789.2976,0,0,0
135,TSB1-5,99214.01767,0,0,0
136,TSB1-6,100107.8376,0,0,0
137,TSB1-7,105470.7575,0,0,0
138,TSB1-8,102789.2976,893.819979,0.0008938,0.1138347
139,TSB1-9,96532.55773,5362.919874,0.0053629,0.6830082
140,TSB1-10,90275.81788,7150.559832,0.0071506,0.9106776
141,TSB1-11,99214.01767,2681.459937,0.0026815,0.3415041
142,TSB1-12,82231.43807,13407.29968,0.0134073,1.7075205
143,TSB1-13,88488.17792,15194.93964,0.0151949,1.9351898
144,TSB1-14,101001.6576,2681.459937,0.0026815,0.3415041
145,TSB1-15,92957.27781,8938.19979,0.0089382,1.138347
146,TSA2-1,123347.1571,0,0,0
147,TSA2-2,110833.6774,0,0,0
148,TSA2-3,98320.19769,0,0,0
149,TSA2-4,105470.7575,0,0,0
150,TSA2-5,103683.1176,0,0,0
151,TSA2-6,102789.2976,0,0,0
152,TSA2-7,99214.01767,0,0,0
153,TSA2-8,113515.1373,0,0,0
154,TSA2-9,99214.01767,0,0,0
155,TSA2-10,93851.09779,0,0,0
156,TSB2-1,313730.8126,0,0,0
157,TSB2-2,95638.73775,0,0,0
158,TSB2-3,109939.8574,0,0,0
159,TSB2-4,83125.25805,0,0,0
160,TSB2-5,99214.01767,0,0,0
161,TSB2-6,101895.4776,0,0,0
162,TSB2-7,102789.2976,0,0,0
163,TSB2-8,98320.19769,893.819979,0.0008938,0.1138347
164,TSB2-9,102789.2976,0,0,0
165,TSA3-1,137648.2768,0,0,0
166,TSA3-2,69717.95836,0,0,0
167,TSA3-3,49160.09884,0,0,0
168,TSA3-4,69717.95836,0,0,0
169,TSA3-5,93851.09779,0,0,0
170,TSA3-6,101895.4776,0,0,0
171,TSA3-7,100107.8376,0,0,0
172,TSB3-1,35752.79916,0,0,0
173,TSB3-2,50947.7388,0,0,0
174,TSB3-3,42009.53901,0,0,0
175,TSB3-4,17876.39958,0,0,0
176,TSB3-5,33965.1592,0,0,0
177,TSB3-6,81337.61809,0,0,0
178,TSB3-7,84019.07802,0,0,0
179,TSB3-8,73293.23828,1787.639958,0.0017876,0.2276694
180,TSB3-9,72399.4183,893.819979,0.0008938,0.1138347
181,TSB3-10,87594.35794,0,0,0
182,TDB4-7,653382.4046,0,0,0
183,TDB4-6,15194.93964,0,0,0
184,TDB4-5,9832.019769,0,0,0
185,TDB4-4,5362.919874,0,0,0
186,TDB4-3,5362.919874,0,0,0
187,TDB4-2,1787.639958,0,0,0
188,TDA4-11,773154.2818,0,0,0
189,TDA4-12,101895.4776,0,0,0
190,TDA4-13,90275.81788,0,0,0
191,TDA4-14,99214.01767,0,0,0
192,TDA4-15,99214.01767,0,0,0
193,TD5-1,771366.6419,14301.11966,0.0143011,1.8213552
194,TD5-2,146586.4766,0,0,0
195,TD5-3,110833.6774,0,0,0
196,TD5-4,99214.01767,3575.279916,0.0035753,0.4553388
197,TD5-5,93851.09779,893.819979,0.0008938,0.1138347
198,TD5-6,103683.1176,0,0,0
199,TD5-7,103683.1176,0,0,0
200,TD5-8,95638.73775,0,0,0
201,TD5-9,84019.07802,0,0,0
202,TD5-10,103683.1176,0,0,0
203,TD5-11,107258.3975,0,0,0
204,TD5-12,106364.5775,0,0,0
205,TD5-13,93851.09779,0,0,0
206,TDA4-1,42009.53901,0,0,0
