OBJECTID,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
328,TTA6-7,328,36,32181.1408,0.2595,0.3096,0.0501,0.2847,0.0141,10.2491
329,TTA6-8,329,36,32181.1408,0.1957,0.2380,0.0424,0.2170,0.0119,7.8112
330,TTA6-9,330,37,33075.0614,0.1385,0.1791,0.0406,0.1584,0.0110,5.8619
331,TTA6-10,331,35,31287.2202,0.0866,0.1170,0.0304,0.1016,0.0083,3.5565
332,TTA7-1,332,36,32181.1408,0.8513,0.8870,0.0357,0.8694,0.0099,31.2972
333,TTA7-2,333,32,28605.4585,0.7734,0.8128,0.0394,0.7931,0.0110,25.3805
334,TTA7-3,334,36,32181.1408,0.7025,0.7508,0.0483,0.7270,0.0134,26.1718
335,TTA7-4,335,32,28605.4585,0.6236,0.6701,0.0464,0.6467,0.0127,20.6940
336,TTA7-5,336,35,31287.2202,0.5443,0.5940,0.0498,0.5684,0.0134,19.8941
337,TTA7-6,337,32,28605.4585,0.4703,0.5127,0.0425,0.4912,0.0118,15.7181
338,TTA7-7,338,35,31287.2202,0.4026,0.4428,0.0402,0.4225,0.0110,14.7863
339,TTA7-8,339,32,28605.4585,0.3578,0.3950,0.0372,0.3761,0.0102,12.0345
340,TTA7-9,340,36,32181.1408,0.3289,0.3666,0.0377,0.3478,0.0098,12.5216
341,TTA7-10,341,37,33075.0614,0.3021,0.3344,0.0323,0.3179,0.0093,11.7623
