Rowid,OBJECTID_1,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN
105,TDB2-7,105,242,216346.283630608086241,36,39,3,37.342975206611570,1.200091349572698,9037.000000000000000,4,36,37,38
106,TDB2-8,106,229,204724.375832269637613,36,39,3,37.244541484716159,1.145154357086486,8529.000000000000000,4,36,37,38
107,TDB2-9,107,224,200254.411294447170803,36,39,3,36.834821428571431,0.956389212222156,8251.000000000000000,4,36,39,36
108,TDB2-10,108,236,210982.326185221114429,36,38,2,36.682203389830505,0.810851337074829,8657.000000000000000,3,36,38,36
109,TDA3-1,109,123,109961.127630433038576,0,43,43,41.951219512195124,6.633070214011716,5160.000000000000000,2,43,0,43
110,TDA3-2,110,160,143038.865210319403559,0,43,43,37.893749999999997,13.910246616703100,6063.000000000000000,2,43,0,43
111,TDA3-3,111,180,160918.723361609329004,0,43,43,25.761111111111113,21.034723643666727,4637.000000000000000,3,43,42,43
112,TDA3-4,112,170,151978.794285964366281,0,43,43,19.523529411764706,20.962488329275637,3319.000000000000000,4,0,40,0
113,TDA3-5,113,186,166282.680806996300817,0,43,43,19.967741935483872,20.635052968921038,3714.000000000000000,4,0,43,0
114,TDA3-6,114,214,191314.482218802208081,0,43,43,24.953271028037385,20.075503823973058,5340.000000000000000,4,0,43,40
115,TDA3-7,115,220,196678.439664189179894,0,43,43,29.668181818181818,18.399206661840722,6527.000000000000000,4,40,43,40
116,TDA3-8,116,224,200254.411294447170803,0,43,43,34.361607142857146,14.572128150879783,7697.000000000000000,5,40,43,40
117,TDA3-9,117,189,168964.659529689786723,0,42,42,37.089947089947088,9.682655332237891,7010.000000000000000,5,39,38,39
118,TSA1-1,118,3507,3135233.126828688196838,0,40,40,28.606216139150270,17.376630886512938,100322.000000000000000,4,39,38,39
119,TSA1-2,119,229,204724.375832269637613,38,39,1,38.960698689956331,0.194310877391016,8922.000000000000000,2,39,38,39
120,TSA1-3,120,235,210088.333277656609425,38,39,1,38.910638297872339,0.285265119354741,9144.000000000000000,2,39,38,39
121,TSA1-4,121,229,204724.375832269637613,38,39,1,38.825327510917027,0.379686726974584,8891.000000000000000,2,39,38,39
122,TSA1-5,122,218,194890.453849060169887,38,39,1,38.903669724770644,0.295043646438221,8481.000000000000000,2,39,38,39
123,TSA1-6,123,218,194890.453849060169887,38,39,1,38.995412844036700,0.067573026891686,8501.000000000000000,2,39,38,39
124,TSA1-7,124,242,216346.283630608086241,38,43,5,39.037190082644628,0.457559503677692,9447.000000000000000,3,39,38,39
125,TSA1-8,125,257,229756.177244075544877,38,43,5,39.428015564202333,1.282808033619878,10133.000000000000000,3,39,38,39
126,TSA1-9,126,213,190420.489311237703077,39,43,4,39.544600938967136,1.371792102741752,8423.000000000000000,2,39,43,39
127,TSA1-10,127,226,202042.397109576151706,39,43,4,39.991150442477874,1.726911280375297,9038.000000000000000,2,39,43,39
128,TSA1-11,128,200,178798.581512899254449,39,43,4,40.299999999999997,1.873499399519519,8060.000000000000000,2,39,43,39
129,TSA1-12,129,225,201148.404202011646703,39,43,4,40.546666666666667,1.947944785893309,9123.000000000000000,2,39,43,39
130,TSB1-1,130,1001,894886.900472060777247,0,40,40,35.883116883116884,12.152680240929831,35919.000000000000000,3,40,39,40
131,TSB1-2,131,221,197572.432571753684897,0,40,40,36.371040723981899,11.473276970301717,8038.000000000000000,3,40,39,40
132,TSB1-3,132,233,208300.347462527628522,0,40,40,33.291845493562235,14.927313805655809,7757.000000000000000,3,40,39,40
133,TSB1-4,133,219,195784.446756624674890,0,40,40,36.812785388127857,10.344151988900135,8062.000000000000000,3,40,0,40
134,TSB1-5,134,223,199360.418386882665800,0,40,40,32.327354260089685,15.120310211514743,7209.000000000000000,3,39,0,39
135,TSB1-6,135,240,214558.297815479105338,0,40,40,32.845833333333331,14.473149828984091,7883.000000000000000,3,39,0,39
136,TSB1-7,136,224,200254.411294447170803,0,40,40,27.544642857142858,17.803434857622051,6170.000000000000000,3,39,40,39
137,TSB1-8,137,232,207406.354554963123519,0,39,39,22.525862068965516,19.263804368286024,5226.000000000000000,2,39,0,39
138,TSB1-9,138,219,195784.446756624674890,0,40,40,14.789954337899543,18.932267869026720,3239.000000000000000,3,0,40,0
139,TSB1-10,139,219,195784.446756624674890,0,39,39,26.356164383561644,18.254944808067233,5772.000000000000000,2,39,0,39
140,TSB1-11,140,225,201148.404202011646703,0,39,39,23.920000000000002,18.992461662459661,5382.000000000000000,2,39,0,39
141,TSB1-12,141,226,202042.397109576151706,0,39,39,17.084070796460178,19.349761912837156,3861.000000000000000,2,0,39,0
142,TSB1-13,142,234,209194.340370092133526,0,39,39,18.666666666666668,19.482185594936610,4368.000000000000000,2,0,39,0
143,TSB1-14,143,220,196678.439664189179894,0,40,40,13.545454545454545,18.646782010278422,2980.000000000000000,3,0,40,0
144,TSB1-15,144,228,203830.382924705132609,0,40,40,12.052631578947368,18.297177476351592,2748.000000000000000,3,0,39,0
145,TSA2-1,145,277,247636.035395365470322,39,43,4,40.487364620938628,1.933185187232345,11215.000000000000000,2,39,43,39
146,TSA2-2,146,241,215452.290723043610342,39,43,4,41.174273858921161,1.992392687724176,9923.000000000000000,2,43,39,43
